actor,sentence,emotion,mean_rms,n_decoded
1,1,anger,0.11343867,35
1,1,disgust,0.089914866,35
1,1,fear,0.08464005,35
1,1,happy,0.091297366,35
1,1,neutral,0.10999783,35
1,1,sad,0.1011865,35
1,1,sarcastic,0.09621597,35
1,1,surprise,0.09749626,35
1,2,anger,0.09704649,35
1,2,disgust,0.096958265,35
1,2,fear,0.0985936,35
1,2,happy,0.09095318,35
1,2,neutral,0.10300635,35
1,2,sad,0.09614718,35
1,2,sarcastic,0.10139239,35
1,2,surprise,0.098929346,35
1,3,anger,0.09852963,35
1,3,disgust,0.10601915,35
1,3,fear,0.1094921,35
1,3,happy,0.115491524,35
1,3,neutral,0.12695213,35
1,3,sad,0.09662364,35
1,3,sarcastic,0.10666702,35
1,3,surprise,0.109665826,35
1,4,anger,0.11740402,35
1,4,disgust,0.111815564,35
1,4,fear,0.10911906,35
1,4,happy,0.10440718,35
1,4,neutral,0.12203034,35
1,4,sad,0.11059366,35
1,4,sarcastic,0.112323195,35
1,4,surprise,0.11627562,35
1,5,anger,0.11852774,35
1,5,disgust,0.113523446,35
1,5,fear,0.11767424,35
1,5,happy,0.11694372,35
1,5,neutral,0.12151853,35
1,5,sad,0.1176058,35
1,5,sarcastic,0.112929225,35
1,5,surprise,0.12030526,35
1,6,anger,0.13104917,35
1,6,disgust,0.12709536,35
1,6,fear,0.114166714,35
1,6,happy,0.11564843,35
1,6,neutral,0.13251336,35
1,6,sad,0.12451687,35
1,6,sarcastic,0.10964846,35
1,6,surprise,0.10328274,35
1,7,anger,0.11778677,35
1,7,disgust,0.102672845,35
1,7,fear,0.10118846,35
1,7,happy,0.104440145,35
1,7,neutral,0.12241809,35
1,7,sad,0.0960659,35
1,7,sarcastic,0.10409916,35
1,7,surprise,0.107529,35
1,8,anger,0.1324045,35
1,8,disgust,0.12732683,35
1,8,fear,0.12109142,35
1,8,happy,0.1202881,35
1,8,neutral,0.1399951,35
1,8,sad,0.1259976,35
1,8,sarcastic,0.113622494,35
1,8,surprise,0.10831036,35
1,9,anger,0.10606643,35
1,9,disgust,0.11809067,35
1,9,fear,0.10129967,35
1,9,happy,0.11625798,35
1,9,neutral,0.11992739,35
1,9,sad,0.10951062,35
1,9,sarcastic,0.099925876,35
1,9,surprise,0.09323698,35
1,10,anger,0.12640657,35
1,10,disgust,0.11976302,35
1,10,fear,0.09949522,35
1,10,happy,0.11689104,35
1,10,neutral,0.1244934,35
1,10,sad,0.117159136,35
1,10,sarcastic,0.11215271,35
1,10,surprise,0.114926666,35
2,1,anger,0.106102765,35
2,1,disgust,0.11348799,35
2,1,fear,0.1231051,35
2,1,happy,0.1301416,35
2,1,neutral,0.12269477,35
2,1,sad,0.10351733,35
2,1,sarcastic,0.11026529,35
2,1,surprise,0.12451451,35
2,2,anger,0.106961794,35
2,2,disgust,0.10596667,35
2,2,fear,0.105570726,35
2,2,happy,0.11141746,35
2,2,neutral,0.11170318,35
2,2,sad,0.107911,35
2,2,sarcastic,0.1143455,35
2,2,surprise,0.106328286,35
2,3,anger,0.13300222,35
2,3,disgust,0.12400913,35
2,3,fear,0.12771311,35
2,3,happy,0.14455687,35
2,3,neutral,0.13648109,35
2,3,sad,0.13211933,35
2,3,sarcastic,0.13416359,35
2,3,surprise,0.13596925,35
2,4,anger,0.124380305,35
2,4,disgust,0.13021244,35
2,4,fear,0.12006107,35
2,4,happy,0.12199485,35
2,4,neutral,0.13572791,35
2,4,sad,0.1279207,35
2,4,sarcastic,0.12513937,35
2,4,surprise,0.14139286,35
2,5,anger,0.1316579,35
2,5,disgust,0.12762251,35
2,5,fear,0.11666295,35
2,5,happy,0.14746071,35
2,5,neutral,0.13273422,35
2,5,sad,0.12524024,35
2,5,sarcastic,0.12870018,35
2,5,surprise,0.13130668,35
2,6,anger,0.13907659,35
2,6,disgust,0.13691108,35
2,6,fear,0.118021734,35
2,6,happy,0.13999216,35
2,6,neutral,0.15507048,35
2,6,sad,0.123723164,35
2,6,sarcastic,0.14447857,35
2,6,surprise,0.1433227,35
2,7,anger,0.12435035,35
2,7,disgust,0.12710115,35
2,7,fear,0.11815469,35
2,7,happy,0.13503487,35
2,7,neutral,0.11557651,35
2,7,sad,0.11718855,35
2,7,sarcastic,0.1206542,35
2,7,surprise,0.13912234,35
2,8,anger,0.14007428,35
2,8,disgust,0.13117751,35
2,8,fear,0.114854336,35
2,8,happy,0.14912073,35
2,8,neutral,0.16102006,35
2,8,sad,0.13202444,35
2,8,sarcastic,0.13526358,35
2,8,surprise,0.16092058,35
2,9,anger,0.13115546,35
2,9,disgust,0.12137352,35
2,9,fear,0.11785446,35
2,9,happy,0.14090157,35
2,9,neutral,0.14521113,35
2,9,sad,0.12359036,35
2,9,sarcastic,0.13792442,35
2,9,surprise,0.14115898,35
2,10,anger,0.1244848,35
2,10,disgust,0.10828896,35
2,10,fear,0.11831963,35
2,10,happy,0.12267249,35
2,10,neutral,0.13852395,35
2,10,sad,0.11854818,35
2,10,sarcastic,0.124497265,35
2,10,surprise,0.12775154,35
3,1,anger,0.10294115,35
3,1,disgust,0.10272456,35
3,1,fear,0.11742945,35
3,1,happy,0.108567744,35
3,1,neutral,0.113721356,35
3,1,sad,0.11603033,35
3,1,sarcastic,0.12170032,35
3,1,surprise,0.11813086,35
3,2,anger,0.111480296,35
3,2,disgust,0.10562949,35
3,2,fear,0.11988074,35
3,2,happy,0.11836398,35
3,2,neutral,0.11361476,35
3,2,sad,0.118994944,35
3,2,sarcastic,0.10453568,35
3,2,surprise,0.11496176,35
3,3,anger,0.12565011,35
3,3,disgust,0.11685769,35
3,3,fear,0.12603354,35
3,3,happy,0.1268473,35
3,3,neutral,0.11850576,35
3,3,sad,0.13637386,35
3,3,sarcastic,0.12168307,35
3,3,surprise,0.12615404,35
3,4,anger,0.11461786,35
3,4,disgust,0.1267093,35
3,4,fear,0.12962194,35
3,4,happy,0.1319793,35
3,4,neutral,0.12745166,35
3,4,sad,0.1278238,35
3,4,sarcastic,0.12156626,35
3,4,surprise,0.123640604,35
3,5,anger,0.11438016,35
3,5,disgust,0.117183074,35
3,5,fear,0.13908945,35
3,5,happy,0.12739448,35
3,5,neutral,0.124586776,35
3,5,sad,0.12660532,35
3,5,sarcastic,0.12376213,35
3,5,surprise,0.119103715,35
3,6,anger,0.12543544,35
3,6,disgust,0.13859475,35
3,6,fear,0.1340851,35
3,6,happy,0.12483028,35
3,6,neutral,0.14250457,35
3,6,sad,0.13662948,35
3,6,sarcastic,0.1432363,35
3,6,surprise,0.14477496,35
3,7,anger,0.10933641,35
3,7,disgust,0.11476033,35
3,7,fear,0.119160846,35
3,7,happy,0.12572335,35
3,7,neutral,0.14257503,35
3,7,sad,0.13129312,35
3,7,sarcastic,0.13052522,35
3,7,surprise,0.11863838,35
3,8,anger,0.13007157,35
3,8,disgust,0.136493,35
3,8,fear,0.14612272,35
3,8,happy,0.13887882,35
3,8,neutral,0.14323704,35
3,8,sad,0.139718,35
3,8,sarcastic,0.14102094,35
3,8,surprise,0.14105806,35
3,9,anger,0.12371807,35
3,9,disgust,0.11649464,35
3,9,fear,0.12437401,35
3,9,happy,0.12203029,35
3,9,neutral,0.13421287,35
3,9,sad,0.12814243,35
3,9,sarcastic,0.1267008,35
3,9,surprise,0.114059195,35
3,10,anger,0.12591527,35
3,10,disgust,0.11776834,35
3,10,fear,0.13038224,35
3,10,happy,0.13061261,35
3,10,neutral,0.12669857,35
3,10,sad,0.12745848,35
3,10,sarcastic,0.13291764,35
3,10,surprise,0.11890229,35
4,1,anger,0.12022122,35
4,1,disgust,0.10161642,35
4,1,fear,0.1028493,35
4,1,happy,0.11163862,35
4,1,neutral,0.12138115,35
4,1,sad,0.11195473,35
4,1,sarcastic,0.11420325,35
4,1,surprise,0.11249305,35
4,2,anger,0.116097845,35
4,2,disgust,0.098725766,35
4,2,fear,0.111134276,35
4,2,happy,0.09845476,35
4,2,neutral,0.111908816,35
4,2,sad,0.110960715,35
4,2,sarcastic,0.112460576,35
4,2,surprise,0.10580652,35
4,3,anger,0.12950303,35
4,3,disgust,0.105475925,35
4,3,fear,0.11407757,35
4,3,happy,0.1147478,35
4,3,neutral,0.103508145,35
4,3,sad,0.12215841,35
4,3,sarcastic,0.110039406,35
4,3,surprise,0.10547027,35
4,4,anger,0.119372964,35
4,4,disgust,0.10953533,35
4,4,fear,0.12732907,35
4,4,happy,0.1265456,35
4,4,neutral,0.12135402,35
4,4,sad,0.1426321,35
4,4,sarcastic,0.1277242,35
4,4,surprise,0.11521496,35
4,5,anger,0.13540642,35
4,5,disgust,0.12010716,35
4,5,fear,0.1162237,35
4,5,happy,0.11965144,35
4,5,neutral,0.11947565,35
4,5,sad,0.123348534,35
4,5,sarcastic,0.12405376,35
4,5,surprise,0.12710992,35
4,6,anger,0.12251755,35
4,6,disgust,0.12584691,35
4,6,fear,0.11526522,35
4,6,happy,0.124381036,35
4,6,neutral,0.121937804,35
4,6,sad,0.14354645,35
4,6,sarcastic,0.12693526,35
4,6,surprise,0.1286398,35
4,7,anger,0.12422384,35
4,7,disgust,0.090027474,35
4,7,fear,0.122676045,35
4,7,happy,0.11162649,35
4,7,neutral,0.14161736,35
4,7,sad,0.11933361,35
4,7,sarcastic,0.12047465,35
4,7,surprise,0.109971404,35
4,8,anger,0.12892906,35
4,8,disgust,0.128515,35
4,8,fear,0.12448184,35
4,8,happy,0.11018271,35
4,8,neutral,0.114918515,35
4,8,sad,0.13543725,35
4,8,sarcastic,0.12707168,35
4,8,surprise,0.12618834,35
4,9,anger,0.11391161,35
4,9,disgust,0.12612773,35
4,9,fear,0.11999619,35
4,9,happy,0.12901156,35
4,9,neutral,0.12303004,35
4,9,sad,0.12591198,35
4,9,sarcastic,0.12556197,35
4,9,surprise,0.11734574,35
