actor,sentence,emotion,mean_cosine,min_cosine
1,1,anger,0.81564665,0.6925427
1,2,anger,0.7985985,0.69396466
1,3,anger,0.80864733,0.7479026
1,4,anger,0.8416057,0.7755786
1,5,anger,0.80086154,0.69982433
1,6,anger,0.8378329,0.7634829
1,7,anger,0.84065276,0.80304897
1,8,anger,0.8393193,0.7706783
1,9,anger,0.8124665,0.7172454
1,10,anger,0.8017939,0.7079664
1,1,disgust,0.77186275,0.6940591
1,2,disgust,0.7916873,0.7265498
1,3,disgust,0.7921791,0.7117425
1,4,disgust,0.7765843,0.71549594
1,5,disgust,0.81419104,0.7387777
1,6,disgust,0.8047141,0.67690986
1,7,disgust,0.7998136,0.69951403
1,8,disgust,0.80114794,0.7490602
1,9,disgust,0.81139743,0.70729584
1,10,disgust,0.76693034,0.6908236
1,1,fear,0.7676109,0.65084326
1,2,fear,0.7935183,0.7121918
1,3,fear,0.7737121,0.6887927
1,4,fear,0.77670085,0.7404805
1,5,fear,0.7916039,0.72599185
1,6,fear,0.7805842,0.67654777
1,7,fear,0.76488465,0.6656267
1,8,fear,0.7703627,0.6744436
1,9,fear,0.7923892,0.74239767
1,10,fear,0.7835556,0.7115986
1,1,happy,0.80122256,0.73302484
1,2,happy,0.80388075,0.73701704
1,3,happy,0.803228,0.65850943
1,4,happy,0.7638479,0.71976936
1,5,happy,0.78553975,0.7107302
1,6,happy,0.79227895,0.7005897
1,7,happy,0.77844536,0.709133
1,8,happy,0.7836941,0.7075923
1,9,happy,0.80705065,0.75684667
1,10,happy,0.8043841,0.6891661
1,1,neutral,0.84159964,0.7826837
1,2,neutral,0.82582116,0.7648148
1,3,neutral,0.8703024,0.7569428
1,4,neutral,0.8043353,0.6297481
1,5,neutral,0.8652518,0.7286501
1,6,neutral,0.8075531,0.6962293
1,7,neutral,0.8305273,0.7166951
1,8,neutral,0.84101933,0.7697144
1,9,neutral,0.83989304,0.7854252
1,10,neutral,0.8159899,0.78020847
1,1,sad,0.81160194,0.75415176
1,2,sad,0.7709285,0.65022415
1,3,sad,0.82202214,0.7314472
1,4,sad,0.7869842,0.64081126
1,5,sad,0.7918997,0.7175776
1,6,sad,0.7994472,0.73311144
1,7,sad,0.7622071,0.68152714
1,8,sad,0.81313944,0.7755188
1,9,sad,0.809104,0.7148713
1,10,sad,0.80122465,0.70022696
1,1,sarcastic,0.81940866,0.7799949
1,2,sarcastic,0.7715559,0.6753586
1,3,sarcastic,0.7934171,0.71895933
1,4,sarcastic,0.8112791,0.7066614
1,5,sarcastic,0.7632526,0.64762044
1,6,sarcastic,0.7883099,0.703475
1,7,sarcastic,0.7963606,0.69445974
1,8,sarcastic,0.81112045,0.7224397
1,9,sarcastic,0.82536095,0.7628817
1,10,sarcastic,0.8037717,0.7232355
1,1,surprise,0.79164594,0.735635
1,2,surprise,0.8096643,0.73258024
1,3,surprise,0.8290515,0.7620798
1,4,surprise,0.78691834,0.69460243
1,5,surprise,0.8125604,0.7063477
1,6,surprise,0.7968779,0.6864242
1,7,surprise,0.8022066,0.71369445
1,8,surprise,0.8022059,0.7194211
1,9,surprise,0.79597557,0.71872103
1,10,surprise,0.79895484,0.67783606
2,1,anger,0.8082302,0.72284967
2,2,anger,0.8223654,0.7515511
2,3,anger,0.8253932,0.74242383
2,4,anger,0.77375805,0.71203613
2,5,anger,0.82659763,0.73372644
2,6,anger,0.8757166,0.79579884
2,7,anger,0.8209854,0.68910784
2,8,anger,0.83789945,0.78858227
2,9,anger,0.8480463,0.77231455
2,10,anger,0.8118445,0.7321985
2,1,disgust,0.83405393,0.70047325
2,2,disgust,0.82967657,0.69573134
2,3,disgust,0.8417928,0.8062818
2,4,disgust,0.8338871,0.7232155
2,5,disgust,0.8494599,0.7750143
2,6,disgust,0.8278664,0.7014887
2,7,disgust,0.85269135,0.7759903
2,8,disgust,0.83005166,0.6631091
2,9,disgust,0.8291082,0.7726009
2,10,disgust,0.7948221,0.74956954
2,1,fear,0.8084561,0.72412205
2,2,fear,0.8026004,0.6724697
2,3,fear,0.8422555,0.75893086
2,4,fear,0.8303127,0.70015
2,5,fear,0.8305855,0.78539354
2,6,fear,0.8559755,0.7702733
2,7,fear,0.7893175,0.73750496
2,8,fear,0.8114073,0.74760395
2,9,fear,0.84026474,0.74120915
2,10,fear,0.8118441,0.76350135
2,1,happy,0.82254386,0.7488442
2,2,happy,0.8343229,0.75556666
2,3,happy,0.8176811,0.7151815
2,4,happy,0.7790044,0.6607994
2,5,happy,0.87279385,0.81159776
2,6,happy,0.87300587,0.8119281
2,7,happy,0.798759,0.6940803
2,8,happy,0.8535637,0.7384343
2,9,happy,0.81260955,0.7465715
2,10,happy,0.8118125,0.76170933
2,1,neutral,0.83615506,0.71210665
2,2,neutral,0.77620715,0.61418927
2,3,neutral,0.8855832,0.74777853
2,4,neutral,0.8809325,0.83786124
2,5,neutral,0.83706206,0.76255816
2,6,neutral,0.8400303,0.75964385
2,7,neutral,0.8213289,0.67794496
2,8,neutral,0.86968666,0.80868566
2,9,neutral,0.8176577,0.7248082
2,10,neutral,0.8259105,0.69407004
2,1,sad,0.8321993,0.77905715
2,2,sad,0.8467185,0.7218627
2,3,sad,0.829598,0.78633535
2,4,sad,0.84339345,0.7886207
2,5,sad,0.8408855,0.7160175
2,6,sad,0.83604825,0.7633331
2,7,sad,0.8179739,0.6649731
2,8,sad,0.79435545,0.63526523
2,9,sad,0.83929604,0.7197775
2,10,sad,0.8257717,0.7510468
2,1,sarcastic,0.8035504,0.7216386
2,2,sarcastic,0.82930785,0.7559869
2,3,sarcastic,0.8540706,0.78143466
2,4,sarcastic,0.77132577,0.71310663
2,5,sarcastic,0.846583,0.7381201
2,6,sarcastic,0.8149447,0.7200424
